objectid,election_name,election_date,ward,total_votes,registered_voters_as_of,registered_voters,turnout
1,2024 Special,2024/09/17,08,281,2024/11/05,2095,0.134
2,2024 Special,2024/09/17,10,480,2024/11/05,5472,0.088
3,2024 Special,2024/09/17,12,672,2024/11/05,10900,0.062
4,2024 Special,2024/09/17,15,1434,2024/11/05,12029,0.119
5,2024 Special,2024/09/17,16,294,2024/11/05,8194,0.036
6,2024 Special,2024/09/17,17,1104,2024/11/05,16113,0.069
7,2024 Special,2024/09/17,28,147,2024/11/05,1942,0.076
8,2024 Special,2024/09/17,29,589,2024/11/05,9753,0.06
9,2024 Special,2024/09/17,32,690,2024/11/05,15481,0.045
10,2024 Special,2024/09/17,59,1188,2024/11/05,15964,0.074
11,2024 Primary,2024/04/23,01,3570,2024/04/23,13193,0.271
12,2024 Primary,2024/04/23,02,5800,2024/04/23,20783,0.279
13,2024 Primary,2024/04/23,03,2633,2024/04/23,13326,0.198
14,2024 Primary,2024/04/23,04,2360,2024/04/23,13242,0.178
15,2024 Primary,2024/04/23,05,8095,2024/04/23,38015,0.213
16,2024 Primary,2024/04/23,06,1821,2024/04/23,9686,0.188
17,2024 Primary,2024/04/23,07,731,2024/04/23,12343,0.059
18,2024 Primary,2024/04/23,08,8822,2024/04/23,35344,0.25
19,2024 Primary,2024/04/23,09,4840,2024/04/23,12407,0.39
20,2024 Primary,2024/04/23,10,4027,2024/04/23,16908,0.238
21,2024 Primary,2024/04/23,11,1461,2024/04/23,9310,0.157
22,2024 Primary,2024/04/23,12,2804,2024/04/23,15185,0.185
23,2024 Primary,2024/04/23,13,2358,2024/04/23,13464,0.175
24,2024 Primary,2024/04/23,14,1101,2024/04/23,6699,0.164
25,2024 Primary,2024/04/23,15,4747,2024/04/23,14907,0.318
26,2024 Primary,2024/04/23,16,911,2024/04/23,7521,0.121
27,2024 Primary,2024/04/23,17,3057,2024/04/23,15268,0.2
28,2024 Primary,2024/04/23,18,3039,2024/04/23,15846,0.192
29,2024 Primary,2024/04/23,19,829,2024/04/23,8886,0.093
30,2024 Primary,2024/04/23,20,944,2024/04/23,7550,0.125
31,2024 Primary,2024/04/23,21,8437,2024/04/23,35589,0.237
32,2024 Primary,2024/04/23,22,5928,2024/04/23,17330,0.342
33,2024 Primary,2024/04/23,23,1680,2024/04/23,14248,0.118
34,2024 Primary,2024/04/23,24,1997,2024/04/23,11738,0.17
35,2024 Primary,2024/04/23,25,1411,2024/04/23,13057,0.108
36,2024 Primary,2024/04/23,26,2747,2024/04/23,13679,0.201
37,2024 Primary,2024/04/23,27,2542,2024/04/23,19402,0.131
38,2024 Primary,2024/04/23,28,1164,2024/04/23,7762,0.15
39,2024 Primary,2024/04/23,29,1720,2024/04/23,8714,0.197
40,2024 Primary,2024/04/23,30,3946,2024/04/23,15718,0.251
41,2024 Primary,2024/04/23,31,2791,2024/04/23,13439,0.208
42,2024 Primary,2024/04/23,32,1860,2024/04/23,13564,0.137
43,2024 Primary,2024/04/23,33,921,2024/04/23,13340,0.069
44,2024 Primary,2024/04/23,34,5457,2024/04/23,25428,0.215
45,2024 Primary,2024/04/23,35,2545,2024/04/23,18474,0.138
46,2024 Primary,2024/04/23,36,4898,2024/04/23,23826,0.206
47,2024 Primary,2024/04/23,37,1089,2024/04/23,9018,0.121
48,2024 Primary,2024/04/23,38,3014,2024/04/23,12978,0.232
49,2024 Primary,2024/04/23,39,5046,2024/04/23,26116,0.193
50,2024 Primary,2024/04/23,40,4210,2024/04/23,28606,0.147
51,2024 Primary,2024/04/23,41,1384,2024/04/23,12570,0.11
52,2024 Primary,2024/04/23,42,1720,2024/04/23,16211,0.106
53,2024 Primary,2024/04/23,43,1193,2024/04/23,12715,0.094
54,2024 Primary,2024/04/23,44,1703,2024/04/23,9539,0.179
55,2024 Primary,2024/04/23,45,1855,2024/04/23,14611,0.127
56,2024 Primary,2024/04/23,46,4349,2024/04/23,15899,0.274
57,2024 Primary,2024/04/23,47,920,2024/04/23,7201,0.128
58,2024 Primary,2024/04/23,48,2287,2024/04/23,12822,0.178
59,2024 Primary,2024/04/23,49,2712,2024/04/23,15747,0.172
60,2024 Primary,2024/04/23,50,5887,2024/04/23,18867,0.312
61,2024 Primary,2024/04/23,51,2695,2024/04/23,14784,0.182
62,2024 Primary,2024/04/23,52,4539,2024/04/23,17322,0.262
63,2024 Primary,2024/04/23,53,1888,2024/04/23,12601,0.15
64,2024 Primary,2024/04/23,54,1033,2024/04/23,9124,0.113
65,2024 Primary,2024/04/23,55,1534,2024/04/23,12914,0.119
66,2024 Primary,2024/04/23,56,3750,2024/04/23,21063,0.178
67,2024 Primary,2024/04/23,57,3186,2024/04/23,16675,0.191
68,2024 Primary,2024/04/23,58,5770,2024/04/23,27963,0.206
69,2024 Primary,2024/04/23,59,3280,2024/04/23,15098,0.217
70,2024 Primary,2024/04/23,60,2791,2024/04/23,12912,0.216
71,2024 Primary,2024/04/23,61,3125,2024/04/23,17350,0.18
72,2024 Primary,2024/04/23,62,1669,2024/04/23,15749,0.106
73,2024 Primary,2024/04/23,63,4502,2024/04/23,15266,0.295
74,2024 Primary,2024/04/23,64,1447,2024/04/23,8691,0.166
75,2024 Primary,2024/04/23,65,2760,2024/04/23,14106,0.196
76,2024 Primary,2024/04/23,66,5540,2024/04/23,27933,0.198
77,2024 General,2024/11/05,01,10111,2024/11/05,13914,0.727
78,2024 General,2024/11/05,02,16213,2024/11/05,22161,0.732
79,2024 General,2024/11/05,03,9081,2024/11/05,14276,0.636
80,2024 General,2024/11/05,04,8572,2024/11/05,14408,0.595
81,2024 General,2024/11/05,05,26818,2024/11/05,42363,0.633
82,2024 General,2024/11/05,06,6272,2024/11/05,10653,0.589
83,2024 General,2024/11/05,07,6054,2024/11/05,13051,0.464
84,2024 General,2024/11/05,08,26678,2024/11/05,40151,0.664
85,2024 General,2024/11/05,09,10478,2024/11/05,12886,0.813
86,2024 General,2024/11/05,10,12173,2024/11/05,17634,0.69
87,2024 General,2024/11/05,11,5287,2024/11/05,10072,0.525
88,2024 General,2024/11/05,12,9850,2024/11/05,16099,0.612
89,2024 General,2024/11/05,13,8458,2024/11/05,14426,0.586
90,2024 General,2024/11/05,14,4735,2024/11/05,7556,0.627
91,2024 General,2024/11/05,15,11996,2024/11/05,15869,0.756
92,2024 General,2024/11/05,16,4356,2024/11/05,8194,0.532
93,2024 General,2024/11/05,17,10138,2024/11/05,16113,0.629
94,2024 General,2024/11/05,18,12201,2024/11/05,17487,0.698
95,2024 General,2024/11/05,19,4900,2024/11/05,9516,0.515
96,2024 General,2024/11/05,20,5052,2024/11/05,9552,0.529
97,2024 General,2024/11/05,21,28692,2024/11/05,37856,0.758
98,2024 General,2024/11/05,22,13948,2024/11/05,18025,0.774
99,2024 General,2024/11/05,23,8318,2024/11/05,15415,0.54
100,2024 General,2024/11/05,24,7789,2024/11/05,13770,0.566
101,2024 General,2024/11/05,25,7531,2024/11/05,14256,0.528
102,2024 General,2024/11/05,26,11063,2024/11/05,14513,0.762
103,2024 General,2024/11/05,27,12425,2024/11/05,23808,0.522
104,2024 General,2024/11/05,28,4757,2024/11/05,8394,0.567
105,2024 General,2024/11/05,29,6494,2024/11/05,9753,0.666
106,2024 General,2024/11/05,30,11846,2024/11/05,16993,0.697
107,2024 General,2024/11/05,31,10293,2024/11/05,14844,0.693
108,2024 General,2024/11/05,32,8464,2024/11/05,15481,0.547
109,2024 General,2024/11/05,33,7481,2024/11/05,14303,0.523
110,2024 General,2024/11/05,34,18504,2024/11/05,27055,0.684
111,2024 General,2024/11/05,35,12205,2024/11/05,19402,0.629
112,2024 General,2024/11/05,36,17232,2024/11/05,25672,0.671
113,2024 General,2024/11/05,37,5103,2024/11/05,9993,0.511
114,2024 General,2024/11/05,38,9283,2024/11/05,13906,0.668
115,2024 General,2024/11/05,39,19126,2024/11/05,27530,0.695
116,2024 General,2024/11/05,40,18839,2024/11/05,30631,0.615
117,2024 General,2024/11/05,41,7813,2024/11/05,13299,0.587
118,2024 General,2024/11/05,42,9802,2024/11/05,17180,0.571
119,2024 General,2024/11/05,43,6876,2024/11/05,13526,0.508
120,2024 General,2024/11/05,44,5935,2024/11/05,10431,0.569
121,2024 General,2024/11/05,45,9631,2024/11/05,15763,0.611
122,2024 General,2024/11/05,46,11467,2024/11/05,17072,0.672
